"anio","mes","indice_serie_original_base_2004"
2004,"Enero",92.6275060269105
2004,"Febrero",90.1861793165596
2004,"Marzo",101.883298042381
2004,"Abril",102.567430251183
2004,"Mayo",109.877503940517
2004,"Junio",105.662406202099
2004,"Julio",101.106997290021
2004,"Agosto",98.3557369424376
2004,"Septiembre",98.0863745346964
2004,"Octubre",97.8356659809799
2004,"Noviembre",100.131946681221
2004,"Diciembre",101.678954790995
2005,"Enero",98.473359529179
2005,"Febrero",96.1188661334341
2005,"Marzo",110.656425867195
2005,"Abril",116.545190482149
2005,"Mayo",126.661943355027
2005,"Junio",116.502223214929
2005,"Julio",107.58113926246
2005,"Agosto",105.820892793101
2005,"Septiembre",104.892134726723
2005,"Octubre",104.460665384984
2005,"Noviembre",108.003754384548
2005,"Diciembre",110.503323899244
2006,"Enero",106.530947876924
2006,"Febrero",104.090137043287
2006,"Marzo",118.588276450431
2006,"Abril",122.087107301316
2006,"Mayo",133.371015674774
2006,"Junio",124.292747751023
2006,"Julio",117.045631853527
2006,"Agosto",116.303607975749
2006,"Septiembre",114.802480333239
2006,"Octubre",116.477508253246
2006,"Noviembre",118.140782294066
2006,"Diciembre",119.60317208093
2007,"Enero",114.701764827224
2007,"Febrero",112.743248286053
2007,"Marzo",129.282764989447
2007,"Abril",133.463083130088
2007,"Mayo",147.607910741675
2007,"Junio",136.120986304945
2007,"Julio",127.387551897955
2007,"Agosto",126.59522767863
2007,"Septiembre",123.510463294445
2007,"Octubre",128.415382661045
2007,"Noviembre",129.735089456174
2007,"Diciembre",128.897928374986
2008,"Enero",126.226892510814
2008,"Febrero",122.824904509164
2008,"Marzo",132.334127287436
2008,"Abril",145.280498552072
2008,"Mayo",154.156163912866
2008,"Junio",140.503484216698
2008,"Julio",136.638688053716
2008,"Agosto",131.340921435527
2008,"Septiembre",132.185938489885
2008,"Octubre",130.395178842559
2008,"Noviembre",125.527563292622
2008,"Diciembre",123.466005794077
2009,"Enero",116.758419202065
2009,"Febrero",114.858861485928
2009,"Marzo",126.165602610261
2009,"Abril",127.990558874504
2009,"Mayo",133.035670478143
2009,"Junio",129.312658048059
2009,"Julio",127.363058375014
2009,"Agosto",124.003286208947
2009,"Septiembre",126.185128124728
2009,"Octubre",127.079861882695
2009,"Noviembre",127.092191780291
2009,"Diciembre",126.286563805558
2010,"Enero",121.505678529232
2010,"Febrero",119.82280209204
2010,"Marzo",136.895501620461
2010,"Abril",145.774131493018
2010,"Mayo",158.110631530439
2010,"Junio",149.861552008054
2010,"Julio",139.505686628727
2010,"Agosto",137.245980687156
2010,"Septiembre",136.696426721623
2010,"Octubre",135.138844506923
2010,"Noviembre",139.598823283722
2010,"Diciembre",138.477649512717
2011,"Enero",133.076919718552
2011,"Febrero",129.509886842622
2011,"Marzo",147.001839095024
2011,"Abril",151.035823039618
2011,"Mayo",166.178342081017
2011,"Junio",156.693658512255
2011,"Julio",146.378088280468
2011,"Agosto",146.398505384719
2011,"Septiembre",147.170906821271
2011,"Octubre",145.050002427799
2011,"Noviembre",146.361645124166
2011,"Diciembre",143.361657853743
2012,"Enero",136.194081293613
2012,"Febrero",132.360525940741
2012,"Marzo",147.441016244958
2012,"Abril",145.520278318545
2012,"Mayo",157.40418371936
2012,"Junio",149.033101741505
2012,"Julio",146.862799619037
2012,"Agosto",145.69325698881
2012,"Septiembre",142.471536517314
2012,"Octubre",147.231302955301
2012,"Noviembre",146.373431844686
2012,"Diciembre",143.585058099581
2013,"Enero",136.517071825044
2013,"Febrero",132.795321964955
2013,"Marzo",149.403945667365
2013,"Abril",155.941595841577
2013,"Mayo",167.97347912253
2013,"Junio",156.271864430241
2013,"Julio",150.731001298259
2013,"Agosto",148.421449530501
2013,"Septiembre",147.004844188133
2013,"Octubre",148.693959395975
2013,"Noviembre",145.69589762827
2013,"Diciembre",142.576879127126
2014,"Enero",137.969697395376
2014,"Febrero",132.486306872431
2014,"Marzo",144.53782808347
2014,"Abril",152.341435461471
2014,"Mayo",164.203243902561
2014,"Junio",153.803524029901
2014,"Julio",145.422813734086
2014,"Agosto",140.105303966059
2014,"Septiembre",141.718733199557
2014,"Octubre",143.349397417613
2014,"Noviembre",140.877596898263
2014,"Diciembre",140.435937749128
2015,"Enero",133.99818907035
2015,"Febrero",132.627886955774
2015,"Marzo",149.409012983328
2015,"Abril",157.484599537314
2015,"Mayo",168.886100589834
2015,"Junio",162.937390009122
2015,"Julio",151.844796343063
2015,"Agosto",146.465067204862
2015,"Septiembre",145.882323718601
2015,"Octubre",147.045876153416
2015,"Noviembre",146.175581385648
2015,"Diciembre",141.942118734625
2016,"Enero",134.746450413497
2016,"Febrero",134.232361038625
2016,"Marzo",150.087894236695
2016,"Abril",153.250674366629
2016,"Mayo",163.513608086905
2016,"Junio",153.662095240998
2016,"Julio",143.731100981801
2016,"Agosto",143.674102648605
2016,"Septiembre",142.00773744282
2016,"Octubre",141.136863298081
2016,"Noviembre",144.93832064073
2016,"Diciembre",142.590145160319
2017,"Enero",136.632659483162
2017,"Febrero",132.158516339822
2017,"Marzo",152.620958559057
2017,"Abril",151.946344804487
2017,"Mayo",168.389209469367
2017,"Junio",161.035685469452
2017,"Julio",150.30605012392
2017,"Agosto",149.255342773841
2017,"Septiembre",146.386559657753
2017,"Octubre",149.385949666014
2017,"Noviembre",151.926042852026
2017,"Diciembre",146.783384909224
2018,"Enero",142.740912606172
2018,"Febrero",138.818040351657
2018,"Marzo",155.857319535769
2018,"Abril",151.524543983943
2018,"Mayo",159.566692377916
2018,"Junio",151.125763233455
2018,"Julio",145.963524430004
2018,"Agosto",146.765960034139
2018,"Septiembre",137.746569718648
2018,"Octubre",142.843275984567
2018,"Noviembre",140.592407325335
2018,"Diciembre",136.251615969056
2019,"Enero",134.536239856695
2019,"Febrero",132.267888612736
2019,"Marzo",144.963254955749
2019,"Abril",149.916221403522
2019,"Mayo",164.13569907592
2019,"Junio",150.858971741131
2019,"Julio",146.77702964007
2019,"Agosto",141.27693468084
2019,"Septiembre",134.877066479936
2019,"Octubre",141.639336617013
2019,"Noviembre",137.771829669331
2019,"Diciembre",135.765154527635
2020,"Enero",133.891086089572
2020,"Febrero",128.973638746598
2020,"Marzo",128.211060740256
2020,"Abril",113.295034445801
2020,"Mayo",131.029569197349
2020,"Junio",132.521965266488
2020,"Julio",127.463689469795
2020,"Agosto",125.183893759847
2020,"Septiembre",127.17507609335
2020,"Octubre",131.345501894521
2020,"Noviembre",132.068655252993
2020,"Diciembre",133.854365594615
2021,"Enero",131.521537397348
2021,"Febrero",126.239266968376
2021,"Marzo",145.956900103604
2021,"Abril",147.280844018623
2021,"Mayo",151.169322338691
2021,"Junio",148.979617108605
2021,"Julio",142.425913060973
2021,"Agosto",140.974940728036
2021,"Septiembre",141.296089089409
2021,"Octubre",139.514758696892
2021,"Noviembre",143.751877617714
2021,"Diciembre",147.229878322095
2022,"Enero",139.637961624902
2022,"Febrero",137.849513530395
2022,"Marzo",153.930850776312
2022,"Abril",157.661692116283
2022,"Mayo",164.689363089987
2022,"Junio",161.454834362472
2022,"Julio",152.445387694764
2022,"Agosto",151.465739025198
2022,"Septiembre",149.17434933724
2022,"Octubre",146.554394989072
2022,"Noviembre",148.030494435219
2022,"Diciembre",146.180808004896
2023,"Enero",143.030190287808
2023,"Febrero",137.262027112065
2023,"Marzo",155.060567636349
2023,"Abril",150.021084921151
2023,"Mayo",153.772405702969
2023,"Junio",152.557031890549
2023,"Julio",150.222973708495
2023,"Agosto",151.942038157496
2023,"Septiembre",148.432243240862
2023,"Octubre",147.50696056698
2023,"Noviembre",146.359495292439
2023,"Diciembre",139.335765898049
2024,"Enero",137.546027779234
2024,"Febrero",133.637224020505
2024,"Marzo",142.568619918428
2024,"Abril",147.265122631245
2024,"Mayo",156.77658295329
2024,"Junio",147.365172093703
2024,"Julio",149.697535659285
2024,"Agosto",147.327577143307
2024,"Septiembre",144.84377067736
2024,"Octubre",147.994623052318
2024,"Noviembre",148.069358256608
2024,"Diciembre",148.567397819954
2025,"Enero",146.295979883683
2025,"Febrero",141.202244544414
2025,"Marzo",150.406305877726
2025,"Abril",158.740296133668
2025,"Mayo",164.877557847577
2025,"Junio",156.595165790575
2025,"Julio",153.947892498903
2025,"Agosto",150.566350777516
2025,"Septiembre",151.790603747929
2025,"Octubre",152.770484952548
2025,"Noviembre",147.607990452717
