"indice_tiempo","sin_estacionalidad3","log_diferencia","dummie"
2008-01-01,284.444444444444,-0.161458099159045,1
2008-02-01,280.952380952381,-0.012352767967001,1
2008-03-01,288.888888888889,0.0278569545029654,1
2008-04-01,302.222222222222,0.0451204352804702,1
2008-05-01,291.111111111111,-0.0374575625349003,1
2008-06-01,277.142857142857,-0.0491719164168627,1
2008-07-01,331.111111111111,0.17792089916117,1
2008-08-01,303.809523809524,-0.0860530635478183,1
2008-09-01,286.984126984127,-0.0569740310607774,1
2008-10-01,285.396825396825,-0.00554632592055615,1
2008-11-01,261.587301587302,-0.0871125045621488,1
2008-12-01,226.031746031746,-0.146092618497496,1
2009-01-01,232.380952380952,0.0277026025493363,1
2009-02-01,229.52380952381,-0.0123712918025474,1
2009-03-01,237.460317460317,0.0339937558157128,1
2009-04-01,265.714285714286,0.112421092514998,1
2009-05-01,256.825396825397,-0.0340251534309832,1
2009-06-01,256.190476190476,-0.00247524878854311,1
2009-07-01,285.396825396825,0.107959366201672,1
2009-08-01,272.380952380952,-0.0466789349836576,1
2009-09-01,260,-0.0465200156348935,1
2009-10-01,258.730158730159,-0.00489597061220692,1
2009-11-01,254.603174603175,-0.0160795053743481,1
2009-12-01,260.31746031746,0.0221957323917845,1
2010-01-01,260,-0.00122025640522949,1
2010-02-01,260,0,1
2010-03-01,283.174603174603,0.0853820487269399,1
2010-04-01,303.809523809524,0.0703372588729447,1
2010-05-01,297.142857142857,-0.0221879149753619,1
2010-06-01,293.650793650794,-0.0118217389651667,1
2010-07-01,302.857142857143,0.0308699339358611,1
2010-08-01,298.095238095238,-0.015848192240024,1
2010-09-01,280,-0.0626234232014715,1
2010-10-01,299.365079365079,0.0668742266266662,1
2010-11-01,303.174603174603,0.0126450578472728,1
2010-12-01,297.142857142857,-0.0200958640031379,1
2011-01-01,294.603174603175,-0.00858374369139092,1
2011-02-01,297.460317460317,0.00965154945222135,1
2011-03-01,328.571428571429,0.0994734234610473,1
2011-04-01,338.412698412698,0.0295118990263203,1
2011-05-01,321.587301587302,-0.0509971004771064,1
2011-06-01,312.380952380952,-0.02904560719643,1
2011-07-01,326.984126984127,0.0456881841714276,1
2011-08-01,321.269841269841,-0.0176302313762706,1
2011-09-01,327.619047619048,0.019570096194097,1
2011-10-01,336.190476190476,0.0258263995598984,1
2011-11-01,315.555555555556,-0.0633431389448322,1
2011-12-01,318.412698412698,0.00901358130536156,1
2012-01-01,289.52380952381,-0.095110797887604,1
2012-02-01,301.587301587302,0.0408219945202548,1
2012-03-01,320.634920634921,0.0612436252407189,1
2012-04-01,341.269841269841,0.0623703307264583,1
2012-05-01,320.31746031746,-0.0633609202081544,1
2012-06-01,328.571428571429,0.0254416853458608,1
2012-07-01,344.126984126984,0.0462564763001216,1
2012-08-01,303.809523809524,-0.124609790546637,1
2012-09-01,316.190476190476,0.0399438661316447,1
2012-10-01,313.968253968254,-0.00705292596188656,1
2012-11-01,304.761904761905,-0.0297610471608305,1
2012-12-01,311.428571428571,0.0216391751034815,1
