"fecha","valor_badlar_porc"
2024-08-01,38.8459090909091
2024-09-01,39.3833333333333
2024-10-01,40.5090909090909
2024-11-01,36.1721052631579
2024-12-01,32.8768421052632
2025-01-01,31.4986363636364
2025-02-01,28.4795
2025-03-01,29.5083333333333
2025-04-01,33.1552631578947
2025-05-01,32.7535
2025-06-01,32.1626315789474
2025-07-01,32.4986363636364
2025-08-01,48.0335
2025-09-01,48.4309090909091
2025-10-01,46.1690909090909
2025-11-01,32.0264705882353
2025-12-01,26.4615789473684
2026-01-01,31.2042857142857
2026-02-01,30.6757142857143
