"indice_tiempo","sin_estacionalidad3","log_diferencia"
2002-06-01,100,NA
2002-07-01,109.206349206349,0.0880690185477651
2002-08-01,107.936507936508,-0.0116960397631916
2002-09-01,109.52380952381,0.0145987994211527
2002-10-01,118.412698412698,0.0780340026124557
2002-11-01,119.047619047619,0.00534760632659559
2002-12-01,121.904761904762,0.0237165266173163
2003-01-01,135.555555555556,0.106141460640897
2003-02-01,118.095238095238,-0.137890158955478
2003-03-01,137.460317460317,0.151843873729343
2003-04-01,144.761904761905,0.0517550815118959
2003-05-01,144.761904761905,0
2003-06-01,138.412698412698,-0.0448505661653513
2003-07-01,173.968253968254,0.228633043598981
2003-08-01,163.492063492063,-0.0621083862842795
2003-09-01,174.285714285714,0.063931540845795
2003-10-01,178.095238095238,0.0216224640131655
2003-11-01,173.650793650794,-0.0252721031007148
2003-12-01,166.031746031746,-0.0448673383570588
2004-01-01,176.825396825397,0.062983775862361
2004-02-01,163.174603174603,-0.0803419744721188
2004-03-01,182.857142857143,0.113884395240726
2004-04-01,170.15873015873,-0.0719734996250887
2004-05-01,173.650793650794,0.0203146413511792
2004-06-01,178.730158730159,0.0288308257177086
2004-07-01,199.68253968254,0.11085162856075
2004-08-01,179.365079365079,-0.107305525554
2004-09-01,190.47619047619,0.060103924069705
2004-10-01,188.571428571429,-0.0100503358535011
2004-11-01,196.825396825397,0.0428401586764924
2004-12-01,192.380952380952,-0.0228394919698225
2005-01-01,181.904761904762,-0.0559942693545752
2005-02-01,170.47619047619,-0.064887622205875
2005-03-01,200.634920634921,0.162891299637993
2005-04-01,210.793650793651,0.0493927553295768
2005-05-01,208.253968253968,-0.0121213605323449
2005-06-01,191.111111111111,-0.0859033436352679
2005-07-01,184.444444444444,-0.03550668845691
2005-08-01,242.222222222222,0.272507274432546
2005-09-01,236.190476190476,-0.0252169964513653
2005-10-01,236.190476190476,0
2005-11-01,233.968253968254,-0.00945314264375519
2005-12-01,258.095238095238,0.0981432173584738
2006-01-01,232.063492063492,-0.106317649798032
2006-02-01,264.761904761905,0.131819942608968
2006-03-01,320.634920634921,0.191472207476559
2006-04-01,318.730158730159,-0.00595830958363042
2006-05-01,331.111111111111,0.0381091547490975
2006-06-01,335.555555555556,0.0133335308694651
2006-07-01,332.698412698413,-0.00855112098924948
2006-08-01,309.84126984127,-0.0711762784678953
2006-09-01,329.206349206349,0.0606246218164346
2006-10-01,326.031746031746,-0.00968999830096884
2006-11-01,401.269841269841,0.207639364778244
2006-12-01,348.888888888889,-0.139880620303181
2007-01-01,334.603174603175,-0.0418082253023142
2007-02-01,353.650793650794,0.0553646913859218
2007-03-01,365.079365079365,0.0318048008700664
2007-04-01,388.888888888889,0.0631789016215318
2007-05-01,348.888888888889,-0.108540168575206
2007-06-01,388.571428571429,0.107723508668649
2007-07-01,351.428571428571,-0.100470530363634
2007-08-01,378.730158730159,0.0748174893892797
2007-09-01,329.206349206349,-0.140139213868389
2007-10-01,418.412698412698,0.239783506832926
2007-11-01,410.47619047619,-0.019150336290596
2007-12-01,334.285714285714,-0.205321866637881
2008-01-01,284.444444444444,-0.161458099159045
2008-02-01,280.952380952381,-0.012352767967001
2008-03-01,288.888888888889,0.0278569545029654
2008-04-01,302.222222222222,0.0451204352804702
2008-05-01,291.111111111111,-0.0374575625349003
2008-06-01,277.142857142857,-0.0491719164168627
2008-07-01,331.111111111111,0.17792089916117
2008-08-01,303.809523809524,-0.0860530635478183
2008-09-01,286.984126984127,-0.0569740310607774
2008-10-01,285.396825396825,-0.00554632592055615
2008-11-01,261.587301587302,-0.0871125045621488
2008-12-01,226.031746031746,-0.146092618497496
2009-01-01,232.380952380952,0.0277026025493363
2009-02-01,229.52380952381,-0.0123712918025474
2009-03-01,237.460317460317,0.0339937558157128
2009-04-01,265.714285714286,0.112421092514998
2009-05-01,256.825396825397,-0.0340251534309832
2009-06-01,256.190476190476,-0.00247524878854311
2009-07-01,285.396825396825,0.107959366201672
2009-08-01,272.380952380952,-0.0466789349836576
2009-09-01,260,-0.0465200156348935
2009-10-01,258.730158730159,-0.00489597061220692
2009-11-01,254.603174603175,-0.0160795053743481
2009-12-01,260.31746031746,0.0221957323917845
2010-01-01,260,-0.00122025640522949
2010-02-01,260,0
2010-03-01,283.174603174603,0.0853820487269399
2010-04-01,303.809523809524,0.0703372588729447
2010-05-01,297.142857142857,-0.0221879149753619
2010-06-01,293.650793650794,-0.0118217389651667
2010-07-01,302.857142857143,0.0308699339358611
2010-08-01,298.095238095238,-0.015848192240024
2010-09-01,280,-0.0626234232014715
2010-10-01,299.365079365079,0.0668742266266662
2010-11-01,303.174603174603,0.0126450578472728
2010-12-01,297.142857142857,-0.0200958640031379
2011-01-01,294.603174603175,-0.00858374369139092
2011-02-01,297.460317460317,0.00965154945222135
2011-03-01,328.571428571429,0.0994734234610473
2011-04-01,338.412698412698,0.0295118990263203
2011-05-01,321.587301587302,-0.0509971004771064
2011-06-01,312.380952380952,-0.02904560719643
2011-07-01,326.984126984127,0.0456881841714276
2011-08-01,321.269841269841,-0.0176302313762706
2011-09-01,327.619047619048,0.019570096194097
2011-10-01,336.190476190476,0.0258263995598984
2011-11-01,315.555555555556,-0.0633431389448322
2011-12-01,318.412698412698,0.00901358130536156
2012-01-01,289.52380952381,-0.095110797887604
2012-02-01,301.587301587302,0.0408219945202548
2012-03-01,320.634920634921,0.0612436252407189
2012-04-01,341.269841269841,0.0623703307264583
2012-05-01,320.31746031746,-0.0633609202081544
2012-06-01,328.571428571429,0.0254416853458608
