"fecha","itcrm"
1997-01-01,85.3836648986486
1997-02-01,84.0417475081653
1997-03-01,83.8017015611083
1997-04-01,84.0586826543346
1997-05-01,84.5262875558615
1997-06-01,84.2910327216524
1997-07-01,83.3850359621603
1997-08-01,82.4436484531866
1997-09-01,83.0211158894222
1997-10-01,83.47333588879
1997-11-01,83.6702987821618
1997-12-01,82.90654626087
1998-01-01,81.9445500125361
1998-02-01,81.8596094435933
1998-03-01,81.3077788775296
1998-04-01,81.7484396507852
1998-05-01,82.2404778482213
1998-06-01,81.7681649007138
1998-07-01,81.3366246875338
1998-08-01,80.9372396758963
1998-09-01,81.94624052556
1998-10-01,83.0850302399694
1998-11-01,82.6905162509862
1998-12-01,82.8155045348725
1999-01-01,78.2555046679385
1999-02-01,70.306765810476
1999-03-01,70.8673321070971
1999-04-01,73.6927688476936
1999-05-01,74.453732271194
1999-06-01,73.1861630610226
1999-07-01,72.3360834133155
1999-08-01,72.317771986708
1999-09-01,72.5521684271379
1999-10-01,72.4734794219118
1999-11-01,72.3045999705019
1999-12-01,72.8036636016731
2000-01-01,73.5534493155093
2000-02-01,73.3328726820857
2000-03-01,73.6841200999381
2000-04-01,73.6349997454158
2000-05-01,72.685902128935
2000-06-01,73.7710057934486
2000-07-01,73.5793999899228
2000-08-01,73.2460421856237
2000-09-01,72.4061375374548
2000-10-01,71.7163902379144
2000-11-01,70.9659741056347
2000-12-01,72.0687645527234
2001-01-01,73.3691794279844
2001-02-01,72.7506264944012
2001-03-01,72.2891936085218
2001-04-01,70.0405325625317
2001-05-01,69.3815121366802
2001-06-01,68.0965844918612
2001-07-01,67.9145790362418
2001-08-01,68.5220126015388
2001-09-01,67.5004622102743
2001-10-01,66.4585016933963
2001-11-01,68.1001590680952
2001-12-01,69.2132025450592
2002-01-01,109.998250807512
2002-02-01,134.312820067043
2002-03-01,163.999122802459
2002-04-01,182.802218803626
2002-05-01,191.194986074657
2002-06-01,198.848685743199
2002-07-01,187.742315260848
2002-08-01,179.133836590786
2002-09-01,174.031193806043
2002-10-01,167.430302925636
2002-11-01,165.942147360883
2002-12-01,165.319932233633
2003-01-01,158.165232491959
2003-02-01,151.889784903887
2003-03-01,149.25481352249
2003-04-01,145.642744607811
2003-05-01,148.789716037793
2003-06-01,149.135248447989
2003-07-01,147.420165114852
2003-08-01,151.223407439086
2003-09-01,153.282106008298
2003-10-01,152.742122254765
2003-11-01,153.658155865641
2003-12-01,159.827208803132
2004-01-01,159.602847383312
2004-02-01,160.334604574524
2004-03-01,157.197028066196
2004-04-01,152.185463140696
2004-05-01,152.541440429909
2004-06-01,154.348291929634
2004-07-01,155.774640928543
2004-08-01,159.404911630163
2004-09-01,160.292085469812
2004-10-01,160.416496219645
2004-11-01,162.892518168203
2004-12-01,166.928823465339
2005-01-01,164.014065287229
2005-02-01,162.790249090684
2005-03-01,159.96582727948
2005-04-01,159.69039741336
2005-05-01,161.151970179999
2005-06-01,159.056847429932
