"fecha","itcrm"
2017-01-01,90.5636496553746
2017-02-01,88.7100166057733
2017-03-01,86.534922290649
2017-04-01,83.6563296411989
2017-05-01,84.1604779955339
2017-06-01,85.0291474758398
2017-07-01,91.0278285455977
2017-08-01,92.5102863935088
2017-09-01,90.6957098231169
2017-10-01,89.1530543245261
2017-11-01,87.4897847400126
2017-12-01,86.9451462871892
2018-01-01,93.3894203538769
2018-02-01,96.0242665293199
2018-03-01,95.4600278361205
2018-04-01,92.0542650221352
2018-05-01,101.358937164113
2018-06-01,109.353976146842
2018-07-01,109.439806697038
2018-08-01,113.297122238581
2018-09-01,136.697026375754
2018-10-01,126.657101201662
2018-11-01,118.706965201769
2018-12-01,119.12292318362
2019-01-01,116.394646636406
2019-02-01,116.38915808609
2019-03-01,119.631518470374
2019-04-01,120.032984533921
2019-05-01,119.319322866449
2019-06-01,114.642325844747
2019-07-01,109.719031126975
2019-08-01,127.623608306826
2019-09-01,130.590296676851
2019-10-01,129.672460785204
2019-11-01,126.852311416955
2019-12-01,123.504694726192
2020-01-01,120.737385217965
2020-02-01,118.821303307636
2020-03-01,114.386610773552
2020-04-01,111.479609695714
2020-05-01,111.662310682506
2020-06-01,116.542944893658
2020-07-01,117.892360210071
2020-08-01,118.882820488809
2020-09-01,119.582265658795
2020-10-01,118.104705360551
2020-11-01,119.552339201264
2020-12-01,123.171200766193
2021-01-01,122.781809414904
2021-02-01,122.331729970186
2021-03-01,119.012664092465
2021-04-01,116.753896425911
2021-05-01,117.239137981655
2021-06-01,116.953091704127
2021-07-01,113.740132638795
2021-08-01,111.908206740472
2021-09-01,110.08951851083
2021-10-01,105.658663401504
2021-11-01,103.812161763725
2021-12-01,101.814226770556
2022-01-01,101.557222504603
2022-02-01,102.636833849736
2022-03-01,101.52140882716
2022-04-01,100.204433997477
2022-05-01,96.6569560474291
2022-06-01,95.7901726125928
2022-07-01,91.8628775768194
2022-08-01,91.6997995216437
2022-09-01,89.2658745361887
2022-10-01,88.35930832599
2022-11-01,90.101950512253
2022-12-01,93.212045672232
2023-01-01,95.1413117370102
2023-02-01,94.7714362933825
2023-03-01,93.5909521514119
2023-04-01,93.813056513539
2023-05-01,93.0530965873998
2023-06-01,93.9694767566835
2023-07-01,95.853909540258
2023-08-01,104.830690002311
2023-09-01,100.672060855737
2023-10-01,89.633017698889
2023-11-01,83.1984730012036
2023-12-01,124.873797242801
2024-01-01,132.782559491843
2024-02-01,115.750597702126
2024-03-01,105.870263882143
2024-04-01,97.0224645129057
2024-05-01,93.430395156915
2024-06-01,89.9006182837459
2024-07-01,87.8801977770383
2024-08-01,87.1561892750225
2024-09-01,86.0462340519884
2024-10-01,84.0456314822033
2024-11-01,81.7459358338856
2024-12-01,79.7909683990683
2025-01-01,79.7063414100318
2025-02-01,81.048180704751
2025-03-01,80.4988436531489
2025-04-01,82.326316824492
2025-05-01,83.8966293453809
2025-06-01,86.121041707982
2025-07-01,91.7699038686095
2025-08-01,95.0477811620089
2025-09-01,99.1049922549784
2025-10-01,98.9006243880176
2025-11-01,96.0088355172616
